Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
2020-01-29,44.47807312011719,,70.6197509765625,59.83740234375,113.73037719726562,260.5555419921875,51.5,,71.83110809326172,142.1999969482422,123.375,273.5,51.95000076293945,,74.65333557128906,145.39999389648438,123.69999694824219,275.8500061035156,51.20000076293945,,69.66222381591797,141.89999389648438,121.625,271.0,51.79999923706055,,74.07555389404297,144.4499969482422,122.30000305175781,273.0,1710263,,1885477,12603444,4009378,1295548
2020-01-30,43.70078659057617,,65.94438171386719,59.311397552490234,110.94185638427734,255.69692993164062,50.599998474121094,,67.07555389404297,140.9499969482422,120.3499984741211,268.3999938964844,51.5,,72.80000305175781,143.39999389648438,123.80000305175781,274.5,50.20000076293945,,66.66666412353516,139.8000030517578,120.0999984741211,266.3999938964844,51.25,,72.0,142.14999389648438,123.80000305175781,274.0,1971860,,3479760,15625276,4294930,1602589
2020-01-31,43.09623336791992,,67.03677368164062,58.02796936035156,109.14429473876953,252.9818115234375,49.900001525878906,,68.1866683959961,137.89999389648438,118.4000015258789,265.54998779296875,51.400001525878906,,69.2933349609375,141.6999969482422,119.57499694824219,272.0,49.099998474121094,,66.33777618408203,137.5,117.5,263.0,50.900001525878906,,67.28888702392578,140.85000610351562,119.0,268.20001220703125,2160583,,2902140,13980768,11107276,1103855
2020-02-03,41.15301513671875,,69.60166931152344,56.44998550415039,109.42083740234375,248.07557678222656,47.650001525878906,,70.7955551147461,134.14999389648438,118.69999694824219,260.3999938964844,48.900001525878906,,71.28888702392578,136.8000030517578,120.07499694824219,263.20001220703125,47.349998474121094,,67.55110931396484,132.85000610351562,117.625,254.25,48.25,,67.55555725097656,134.35000610351562,118.8499984741211,258.79998779296875,2917775,,1763955,13658383,8463660,1074575
2020-02-04,41.45529556274414,,72.03109741210938,58.30149841308594,110.73444366455078,251.64808654785156,48.0,,73.26666259765625,138.5500030517578,120.125,264.1499938964844,48.400001525878906,,73.77777862548828,138.89999389648438,120.625,267.0,47.5,,71.4044418334961,134.8000030517578,118.94999694824219,259.0,47.900001525878906,,71.90666961669922,135.89999389648438,119.5,260.6000061035156,2484469,,4458150,11370911,6329512,662758
2020-02-05,41.88711929321289,,70.32699584960938,60.216129302978516,111.65626525878906,258.7931213378906,48.5,,71.53333282470703,143.10000610351562,121.125,271.6499938964844,48.70000076293945,,73.4222183227539,143.89999389648438,121.5,274.5,48.0,,70.67111206054688,137.60000610351562,118.6500015258789,265.0,48.20000076293945,,72.62222290039062,139.3000030517578,120.80000305175781,266.3999938964844,1708093,,2011230,17304767,7751206,2404528
2020-02-06,42.31895065307617,,67.83639526367188,60.53173065185547,112.30154418945312,260.17449951171875,49.0,,69.0,143.85000610351562,121.82499694824219,273.1000061035156,50.650001525878906,,71.92444610595703,146.8000030517578,122.9749984741211,288.6000061035156,48.45000076293945,,68.55110931396484,142.6999969482422,120.82499694824219,270.3999938964844,48.5,,71.12889099121094,144.85000610351562,121.375,274.20001220703125,4266040,,3370128,15736536,6112396,8099206
2020-02-07,42.27576446533203,,73.69151306152344,60.84731674194336,112.43981170654297,262.1751403808594,48.95000076293945,,74.95555877685547,144.60000610351562,121.9749984741211,275.20001220703125,49.5,,75.55555725097656,145.3000030517578,123.5,279.0,48.54999923706055,,69.33333587646484,141.75,121.4749984741211,270.54998779296875,49.25,,69.33333587646484,143.85000610351562,123.5,274.0,2122619,,16685482,9671106,5519024,2059595
2020-02-10,44.00306701660156,,72.54232788085938,59.03789520263672,111.03404235839844,265.5094299316406,50.95000076293945,,73.78666687011719,140.3000030517578,120.44999694824219,278.70001220703125,52.400001525878906,,76.7066650390625,143.6999969482422,122.82499694824219,282.8999938964844,47.650001525878906,,72.26666259765625,139.5500030517578,119.7249984741211,271.5,49.0,,74.95555877685547,143.6999969482422,122.69999694824219,275.5,6161761,,3566868,10029897,4517992,1710511
2020-02-11,42.96669006347656,,70.7639389038086,59.22725296020508,111.19535827636719,261.6034851074219,49.75,,71.97777557373047,140.75,120.625,274.6000061035156,51.900001525878906,,75.46221923828125,143.60000610351562,121.44999694824219,279.0,49.20000076293945,,71.55555725097656,140.1999969482422,119.9000015258789,273.0,51.900001525878906,,74.28888702392578,141.64999389648438,120.2750015258789,279.0,5602045,,2400986,9087616,5460620,1251820
2020-02-12,42.146217346191406,,71.196533203125,59.56388473510742,112.6702880859375,258.9360046386719,48.79999923706055,,72.41777801513672,141.5500030517578,122.2249984741211,271.79998779296875,50.099998474121094,,72.88888549804688,143.89999389648438,123.57499694824219,276.1000061035156,48.54999923706055,,71.37777709960938,141.14999389648438,120.8499984741211,270.20001220703125,49.70000076293945,,71.64444732666016,142.0,120.8499984741211,276.04998779296875,2404887,,1528110,9280214,6838800,948167
2020-02-13,41.843936920166016,,72.17964935302734,59.96364974975586,112.3476333618164,256.0780029296875,48.45000076293945,,73.41777801513672,142.5,121.875,268.79998779296875,49.400001525878906,,74.4800033569336,143.35000610351562,122.9000015258789,272.0,48.0,,71.51555633544922,140.3000030517578,121.25,267.0,48.599998474121094,,72.66666412353516,142.35000610351562,122.9000015258789,270.3999938964844,2720671,,1815480,6820884,4829910,1121053
2020-02-14,41.239383697509766,,71.61163330078125,59.37453079223633,111.95585632324219,257.22119140625,47.75,,72.83999633789062,141.10000610351562,121.44999694824219,270.0,48.900001525878906,,74.2044448852539,143.89999389648438,122.67500305175781,271.5,47.400001525878906,,72.45333099365234,140.75,121.0,265.8500061035156,48.45000076293945,,73.68888854980469,142.6999969482422,121.9000015258789,270.29998779296875,2627577,,815253,6336170,3619586,727345
